nest;cam;resting_minutes;resting_ratio;column_minutes;column_ratio;foraging_minutes;foraging_ratio;transport/construction_minutes;transport/construction_ratio;total_minutes;resting_day_minutes;resting_day_ratio;column_day_minutes;column_day_ratio;foraging_day_minutes;foraging_day_ratio;transport/construction_day_minutes;transport/construction_day_ratio;total_day_minutes;resting_night_minutes;resting_night_ratio;column_night_minutes;column_night_ratio;foraging_night_minutes;foraging_night_ratio;transport/construction_night_minutes;transport/construction_night_ratio;total_night_minutes
All;All;11014;0.6585;581;0.0347;1478;0.0884;3654;0.2184;16727;5091;0.6628;360;0.0469;1078;0.1403;1152;0.1500;7681;5923;0.6548;221;0.0244;400;0.0442;2502;0.2766;9046
All;cam_inf;4459;0.5150;313;0.0362;232;0.0268;3654;0.4220;8658;2211;0.6078;172;0.0473;103;0.0283;1152;0.3167;3638;2248;0.4478;141;0.0281;129;0.0257;2502;0.4984;5020
All;cam_sup;6555;0.8124;268;0.0332;1246;0.1544;0;0.0000;8069;2880;0.7123;188;0.0465;975;0.2412;0;0.0000;4043;3675;0.9128;80;0.0199;271;0.0673;0;0.0000;4026
1;All;913;0.3713;31;0.0126;363;0.1476;1152;0.4685;2459;380;0.3729;0;0.0000;111;0.1089;528;0.5182;1019;533;0.3701;31;0.0215;252;0.1750;624;0.4333;1440
1;cam_inf;96;0.0769;0;0.0000;0;0.0000;1152;0.9231;1248;0;0.0000;0;0.0000;0;0.0000;528;1.0000;528;96;0.1333;0;0.0000;0;0.0000;624;0.8667;720
1;cam_sup;817;0.6746;31;0.0256;363;0.2998;0;0.0000;1211;380;0.7739;0;0.0000;111;0.2261;0;0.0000;491;437;0.6069;31;0.0431;252;0.3500;0;0.0000;720
2;All;9580;0.7767;539;0.0437;1115;0.0904;1100;0.0892;12334;4448;0.7235;353;0.0574;967;0.1573;380;0.0618;6148;5132;0.8296;186;0.0301;148;0.0239;720;0.1164;6186
2;cam_inf;3842;0.7016;302;0.0551;232;0.0424;1100;0.2009;5476;1948;0.7504;165;0.0636;103;0.0397;380;0.1464;2596;1894;0.6576;137;0.0476;129;0.0448;720;0.2500;2880
2;cam_sup;5738;0.8367;237;0.0346;883;0.1288;0;0.0000;6858;2500;0.7038;188;0.0529;864;0.2432;0;0.0000;3552;3238;0.9794;49;0.0148;19;0.0057;0;0.0000;3306
3;All;521;0.2694;11;0.0057;0;0.0000;1402;0.7249;1934;263;0.5117;7;0.0136;0;0.0000;244;0.4747;514;258;0.1817;4;0.0028;0;0.0000;1158;0.8155;1420
3;cam_inf;521;0.2694;11;0.0057;0;0.0000;1402;0.7249;1934;263;0.5117;7;0.0136;0;0.0000;244;0.4747;514;258;0.1817;4;0.0028;0;0.0000;1158;0.8155;1420