nest;cam;active_minutes;active_ratio;inactive_minutes;inactive_ratio;total_minutes;active_day_minutes;active_day_ratio;inactive_day_minutes;inactive_day_ratio;total_day_minutes;active_night_minutes;active_night_ratio;inactive_night_minutes;inactive_night_ratio;total_night_minutes
All;All;5713;0.3415;11014;0.6585;16727;2590;0.3372;5091;0.6628;7681;3123;0.3452;5923;0.6548;9046
All;cam_inf;4199;0.4850;4459;0.5150;8658;1427;0.3922;2211;0.6078;3638;2772;0.5522;2248;0.4478;5020
All;cam_sup;1514;0.1876;6555;0.8124;8069;1163;0.2877;2880;0.7123;4043;351;0.0872;3675;0.9128;4026
1;All;1546;0.6287;913;0.3713;2459;639;0.6271;380;0.3729;1019;907;0.6299;533;0.3701;1440
1;cam_inf;1152;0.9231;96;0.0769;1248;528;1.0000;0;0.0000;528;624;0.8667;96;0.1333;720
1;cam_sup;394;0.3254;817;0.6746;1211;111;0.2261;380;0.7739;491;283;0.3931;437;0.6069;720
2;All;2754;0.2233;9580;0.7767;12334;1700;0.2765;4448;0.7235;6148;1054;0.1704;5132;0.8296;6186
2;cam_inf;1634;0.2984;3842;0.7016;5476;648;0.2496;1948;0.7504;2596;986;0.3424;1894;0.6576;2880
2;cam_sup;1120;0.1633;5738;0.8367;6858;1052;0.2962;2500;0.7038;3552;68;0.0206;3238;0.9794;3306
3;All;1413;0.7306;521;0.2694;1934;251;0.4883;263;0.5117;514;1162;0.8183;258;0.1817;1420
3;cam_inf;1413;0.7306;521;0.2694;1934;251;0.4883;263;0.5117;514;1162;0.8183;258;0.1817;1420