nest;cam;Opiliones_minutes;Opiliones_ratio;Reduviidae_minutes;Reduviidae_ratio;total_minutes;Opiliones_day_minutes;Opiliones_day_ratio;Reduviidae_day_minutes;Reduviidae_day_ratio;total_day_minutes;Opiliones_night_minutes;Opiliones_night_ratio;Reduviidae_night_minutes;Reduviidae_night_ratio;total_night_minutes
All;All;789;0.0472;352;0.0210;16727;0;0.0000;60;0.0078;7681;789;0.0872;292;0.0323;9046
All;cam_inf;337;0.0389;352;0.0407;8658;0;0.0000;60;0.0165;3638;337;0.0671;292;0.0582;5020
All;cam_sup;452;0.0560;0;0.0000;8069;0;0.0000;0;0.0000;4043;452;0.1123;0;0.0000;4026
1;All;33;0.0134;0;0.0000;2459;0;0.0000;0;0.0000;1019;33;0.0229;0;0.0000;1440
1;cam_inf;11;0.0088;0;0.0000;1248;0;0.0000;0;0.0000;528;11;0.0153;0;0.0000;720
1;cam_sup;22;0.0182;0;0.0000;1211;0;0.0000;0;0.0000;491;22;0.0306;0;0.0000;720
2;All;541;0.0439;0;0.0000;12334;0;0.0000;0;0.0000;6148;541;0.0875;0;0.0000;6186
2;cam_inf;111;0.0203;0;0.0000;5476;0;0.0000;0;0.0000;2596;111;0.0385;0;0.0000;2880
2;cam_sup;430;0.0627;0;0.0000;6858;0;0.0000;0;0.0000;3552;430;0.1301;0;0.0000;3306
3;All;215;0.1112;352;0.1820;1934;0;0.0000;60;0.1167;514;215;0.1514;292;0.2056;1420
3;cam_inf;215;0.1112;352;0.1820;1934;0;0.0000;60;0.1167;514;215;0.1514;292;0.2056;1420