nest;cam;resting_n;resting_average_duration_minutes;resting_median_duration_minutes;column_n;column_average_duration_minutes;column_median_duration_minutes;foraging_n;foraging_average_duration_minutes;foraging_median_duration_minutes;transport_n;transport_average_duration_minutes;transport_median_duration_minutes;construction_n;construction_average_duration_minutes;construction_median_duration_minutes;transport+construction_n;transport+construction_average_duration_minutes;transport+construction_median_duration_minutes
All;All;46;239.4348;40.0000;32;18.1562;13.0000;8;184.7500;156.0000;5;533.8000;430.0000;1;88.0000;88.0000;3;297.3333;258.0000
All;cam_inf;23;193.8696;36.0000;17;18.4118;14.0000;1;232.0000;232.0000;5;533.8000;430.0000;1;88.0000;88.0000;3;297.3333;258.0000
All;cam_sup;23;285.0000;63.0000;15;17.8667;12.0000;7;178.0000;104.0000;0;nan;nan;0;nan;nan;0;nan;nan
1;All;4;228.2500;181.5000;2;15.5000;15.5000;1;363.0000;363.0000;1;928.0000;928.0000;1;88.0000;88.0000;1;136.0000;136.0000
1;cam_inf;1;96.0000;96.0000;0;nan;nan;0;nan;nan;1;928.0000;928.0000;1;88.0000;88.0000;1;136.0000;136.0000
1;cam_sup;3;272.3333;267.0000;2;15.5000;15.5000;1;363.0000;363.0000;0;nan;nan;0;nan;nan;0;nan;nan
2;All;38;252.1053;35.0000;28;19.2500;13.5000;7;159.2857;104.0000;1;1100.0000;1100.0000;0;nan;nan;0;nan;nan
2;cam_inf;18;213.4444;35.0000;15;20.1333;14.0000;1;232.0000;232.0000;1;1100.0000;1100.0000;0;nan;nan;0;nan;nan
2;cam_sup;20;286.9000;30.0000;13;18.2308;12.0000;6;147.1667;102.5000;0;nan;nan;0;nan;nan;0;nan;nan
3;All;4;130.2500;94.0000;2;5.5000;5.5000;0;nan;nan;3;213.6667;120.0000;0;nan;nan;2;378.0000;378.0000
3;cam_inf;4;130.2500;94.0000;2;5.5000;5.5000;0;nan;nan;3;213.6667;120.0000;0;nan;nan;2;378.0000;378.0000