nest;cam;active_minutes;active_ratio;inactive_minutes;inactive_ratio;Opiliones_minutes;Opiliones_ratio;Reduviidae_minutes;Reduviidae_ratio;Opiliones_active_minutes;Opiliones_active_ratio;Opiliones_inactive_minutes;Opiliones_inactive_ratio;Reduviidae_active_minutes;Reduviidae_active_ratio;Reduviidae_inactive_minutes;Reduviidae_inactive_ratio;total_minutes
All;All;5713;0.3415;11014;0.6585;789;0.0472;352;0.0210;281;0.0492;508;0.0461;352;0.0616;0;0.0000;16727
All;cam_inf;4199;0.4850;4459;0.5150;337;0.0389;352;0.0407;249;0.0593;88;0.0197;352;0.0838;0;0.0000;8658
All;cam_sup;1514;0.1876;6555;0.8124;452;0.0560;0;0.0000;32;0.0211;420;0.0641;0;0.0000;0;0.0000;8069
1;All;1546;0.6287;913;0.3713;33;0.0134;0;0.0000;30;0.0194;3;0.0033;0;0.0000;0;0.0000;2459
1;cam_inf;1152;0.9231;96;0.0769;11;0.0088;0;0.0000;8;0.0069;3;0.0312;0;0.0000;0;0.0000;1248
1;cam_sup;394;0.3254;817;0.6746;22;0.0182;0;0.0000;22;0.0558;0;0.0000;0;0.0000;0;0.0000;1211
2;All;2754;0.2233;9580;0.7767;541;0.0439;0;0.0000;41;0.0149;500;0.0522;0;0.0000;0;0.0000;12334
2;cam_inf;1634;0.2984;3842;0.7016;111;0.0203;0;0.0000;31;0.0190;80;0.0208;0;0.0000;0;0.0000;5476
2;cam_sup;1120;0.1633;5738;0.8367;430;0.0627;0;0.0000;10;0.0089;420;0.0732;0;0.0000;0;0.0000;6858
3;All;1413;0.7306;521;0.2694;215;0.1112;352;0.1820;210;0.1486;5;0.0096;352;0.2491;0;0.0000;1934
3;cam_inf;1413;0.7306;521;0.2694;215;0.1112;352;0.1820;210;0.1486;5;0.0096;352;0.2491;0;0.0000;1934